cups,potencia_contratada_p1,potencia_contratada_p2,potencia_contratada_p3,tp_actual,potencia_recomendada_p1,potencia_recomendada_p2,potencia_recomendada_p3,tp_recomendado
ES0032000002955582LS  ,33.0000,33.0000,33.0000,850.4845,37.9895,52.5640,50.7554,770.8198
ES0032000002934613GE  ,60.0000,60.0000,60.0000,807.8400,1.5526,0.9540,0.3088,12.0556
ES0032000002934612GK  ,64.0000,64.0000,64.0000,900.8640,4.0487,4.8230,3.8694,118.3491
ES0032000002934610GL  ,60.0000,60.0000,60.0000,697.6800,1.4128,1.3098,0.1848,10.1954
ES0032000002918089EN  ,19.0500,20.0000,27.9000,369.9855,20.6240,20.8928,20.2084,333.3882
ES0032000002918163WV  ,33.0000,33.0000,33.0000,444.3120,0.0362,0.2535,0.2001,30.7587
ES0032000002918234ML  ,20.0000,20.0000,20.0000,281.5200,6.2954,7.9026,7.0623,129.2766
ES0032000002957735KY  ,80.0000,80.0000,80.0000,3812.0400,169.5300,186.8359,155.4747,2634.5915
ES0032000002957736KF  ,70.0000,70.0000,70.0000,814.0450,46.1710,48.8026,17.1850,476.1105
ES0032000002938856MX  ,30.0000,35.0000,62.0000,546.4750,21.2676,24.4194,5.7781,237.1088
ES0032000002938863MV  ,252.0000,252.0000,252.0000,3547.1520,109.5849,112.0710,109.3704,1789.5282
ES0032000002938835GN  ,5.1960,0.0000,0.0000,12.1457,0.4715,0.4369,0.2964,2.6279
ES0032000002938851MM  ,26.4000,26.4000,26.4000,371.6064,4.9122,7.0833,5.7430,92.4528
ES0032000002938816AQ  ,5.1960,0.0000,0.0000,15.4581,0.0555,0.0044,0.0052,0.1923
ES0032000002938817AV  ,33.0000,33.0000,33.0000,738.7450,46.8200,48.6452,4.8087,490.9278
ES0032000002938129LL  ,66.0000,66.0000,66.0000,1277.3070,85.9697,88.0647,7.5516,959.2150
ES0032000002958629ZA  ,15.1000,15.1000,15.1000,212.5476,6.7352,6.9648,4.5381,94.0681
ES0032000002948031JP  ,22.0000,25.0000,20.0000,321.3000,8.5920,9.4486,5.5200,147.0212
ES0032000002938089HW  ,70.0000,70.0000,70.0000,856.8000,32.4813,37.3489,10.7803,356.5762
ES0032000002938087HT  ,340.0000,340.0000,340.0000,4785.8400,171.7154,162.4703,70.8773,2247.9502
ES0032000002939548NN  ,88.0000,88.0000,88.0000,1611.3000,89.7089,104.8294,64.7494,1509.1381
ES0032000002938472BV  ,66.0000,66.0000,66.0000,929.0160,13.6161,19.4349,18.7816,269.3763
ES0032000002942710NT  ,19.8000,19.8000,19.8000,295.7564,4.2864,18.6035,19.4469,254.0461
ES0032000002938550SA  ,39.0000,39.0000,39.0000,558.7730,12.3628,30.8382,0.9643,268.6253
ES0032000002938704KL  ,18.0000,18.0000,18.0000,273.3180,14.0229,18.5492,5.6458,205.9758
ES0032000002952803JL  ,50.0000,56.0000,60.0000,838.7240,47.7708,58.0927,42.0416,765.3274
ES0032000002948143HM  ,18.0000,18.0000,33.0000,417.6830,0.2824,1.1998,7.7249,281.5383
ES0032000002952214BM  ,92.0000,87.0000,41.0000,1128.7285,94.5142,86.9378,24.0165,1083.3061
ES0032000002939579JC  ,45.0000,45.0000,45.0000,633.4200,20.4493,21.9914,6.4263,242.0571
ES0032000002939612SF  ,17.0000,17.0000,17.0000,240.0615,12.2119,12.9918,9.3756,186.5447
ES0032000002940014DH  ,5.5000,0.0000,0.0000,12.8562,0.3809,0.1062,0.1110,1.3705
ES0032000002940016DC  ,3.0000,0.0000,0.0000,7.0125,0.0044,0.0309,0.4050,1.1954
ES0032000002940010DZ  ,3.0000,0.0000,0.0000,7.0125,0.1523,0.2072,0.5821,2.3181
ES0032000002940009DJ  ,9.9000,0.0000,0.0000,23.1413,0.2667,0.1020,0.0570,0.9455
ES0032000002940006DX  ,9.9000,0.0000,0.0000,23.1413,0.1536,0.4441,0.0581,1.2279
ES0032000002940029XX  ,3.3000,0.0000,0.0000,7.7137,0.2307,0.1672,0.0489,0.9423
ES0032000002940030XB  ,3.0000,0.0000,0.0000,7.0125,0.1171,0.7003,0.0765,1.6015
ES0032000002940031XN  ,3.3000,0.0000,0.0000,7.7137,0.6320,0.2946,0.0360,2.0465
ES0032000002940033XZ  ,3.3000,0.0000,0.0000,7.7137,0.1506,0.1297,0.0212,0.6177
ES0032000002940028XD  ,1.0000,0.0000,0.0000,2.3375,0.0981,0.3926,0.0494,0.9919
ES0032000002940027XP  ,1.5000,0.0000,0.0000,3.5063,0.0043,0.2928,0.1104,0.7849
ES0032000002940047BM  ,3.3000,0.0000,0.0000,7.7137,0.0488,0.0918,0.0477,0.3939
ES0032000002940048BY  ,3.3000,0.0000,0.0000,7.7137,0.0517,0.0080,0.1130,0.4506
ES0032000002940049BF  ,5.5000,0.0000,0.0000,12.8562,0.0889,0.3354,0.0287,0.8214
ES0032000002940050BP  ,3.3000,0.0000,0.0000,7.7137,0.0382,0.2811,0.2457,1.2254
ES0032000002940052BX  ,3.3000,0.0000,0.0000,7.7137,0.1030,0.1093,0.0140,0.4535
ES0032000002940054BN  ,3.3000,0.0000,0.0000,7.7137,0.1282,0.0082,0.0011,0.3159
ES0032000002940046BG  ,11.3000,0.0000,0.0000,26.4138,0.1594,0.2809,0.1498,1.2393
ES0032000002936072ED  ,19.8000,19.8000,19.8000,532.1210,29.0917,29.1177,23.1723,482.8133
ES0032000002940095JF  ,3.4500,0.0000,0.0000,8.0644,0.0837,0.4296,0.5131,2.3177
